word,ham_word_count
___,15
____,6
_____,8
______,3
___________,1
____________________,1
________________________,1
_________________________,1
___________________________,4
______________________________________________,2
_______________________________________________,1597
________________________________________________,1
_________________________________________________,7
__________________________________________________,41
____________________________________________________,2
___________________________________________________________,10
_____________________________________________________________,4
______________________________________________________________,4
________________________________________________________________,2
_________________________________________________________________,79
______________________________________________________________________,1
________________________________________________________________________,2
______________________________________________________________________________,2
________________________________________________________________________________,12
____x,2
__2002,4
__db,4
__extremely__,5
__function__,1
__gxx_personality_v0,2
__ksymtab_snd_hack_usb_set_interface.value,5
__make,1
__osf__,2
__perl,3
_2002,2
_25,1
_aaron,2
_actually_,1
_add_,1
_additional_,2
_all,1
_all_,2
_always_,2
_and_,4
_anil,1
_any_,7
_are,1
_are_,5
_at_,3
_atomic,1
_audio,2
_awesome,1
_bad_file_number_can't_locate_object_m,3
_bah_,1
_because_,2
_before_,1
_better_,1
_bill,1
_bindir,3
_brad,1
_buckles_,1
_buffy,1
_builddir,2
_but,2
_by_design_,1
_can_,1
_cannot_,1
_chance_,1
_charlie,1
_clay,1
_client_,2
_copy_,1
_could_,2
_covered_,1
_dan,1
_datadir,8
_dean,1
_demand_,2
_did_,2
_displays,1
_do_,1
_docdir,2
_duh_,1
_elvis_,2
_emacs,2
_emotional_,1
_entirely_,2
_ever_,1
_everything_,2
_exactly_,2
_exit,2
_exmh_267413022p,3
_extremely_,1
_fads,1
_for,2
_forever,1
_former,2
_from,5
_fundamental_,2
_generally_,2
_give_,2
_goal,2
_haiku_,1
_has_,1
_heather,4
_himself_,1
_his_,1
_i_,3
_i'm,1
_ian,4
_if_,6
_included,2
_includedir,1
_incredibly,2
_installing_,2
_instances_,1
_investment_,1
_io_file,2
_is_,6
_it,1
_jason,1
_jeffrey,2
_joe,2
_joel,1
_jonathon,2
_keep,1
_kevin,3
_killer,1
_l_o_o_s_e__s_l_u_g_s,2
_large_,2
_law.com_,1
_league,1
_leave,1
_les,2
_leslie,1
_libdir,3
_linux_,1
_lot_,4
_lots_,1
_mac,1
_malcolm,1
_management_,1
_mandatory_,3
_mandir,7
_marcus,1
_margaret,1
_mark,2
_maximum_,2
_me,1
_me_,2
_michael,2
_most_,1
_much_,1
_my_,2
_nb,1
_need_,3
_never,1
_nicholas,3
_not_,22
_nothing_,1
_offering_,1
_on,2
_one_,2
_only_,3
_osnews.com_,1
_owner_,1
_paul,3
_perfect_,1
_phil,8
_police,1
_political_,1
_prefix,11
_preventing_,1
_program_prefix,8
_public,4
_real_,1
_really,1
_recreate_,4
_require,1
_retentive_,1
_right_,2
_rosencrantz,2
_runner's,1
_sam,1
_says_,1
_sbindir,2
_scott,1
_sean,1
_seth,2
_shelley,8
_should_,1
_siberia,1
_slashdot_,1
_socket.pyd,1
_source,1
_sql,1
_still_,6
_surely_,2
_sweet,4
_sysconfdir,5
_tao,1
_thaanks,1
_thanks,62
_that,1
_that_,7
_the,5
_the_,2
_the_machinery_of_freedom_,1
_then_,6
_they_,1
_they'd_,1
_think_,4
_third,1
_those_,4
_timothy,1
_tom,1
_topdir,1
_try_,3
_turn,2
_two,1
_unionism_,2
_unpackaged_files_terminate_build,2
_users_,1
_very_,4
_via,13
_via_package_,3
_was_,3
_were_,1
_what,1
_what_,2
_when,1
_will_,16
_ye,1
_yes,1
_you_,3
_your_,6
_zero_,3
_ztvn10__cxxabiv120__si_class_type_infoe,8
"0,1,0",2
"0,11711,771543,00",2
"0,11816,801625,00",1
"0,12079,805631,00",1
"0,12374,806695,00",2
"0,1282,54297,00",2
"0,1282,54645,00",2
"0,1284,55319,00",1
"0,1285,55356,00",1
"0,1294,53928,00",4
"0,1367,55329,00",1
"0,1383,54916,00",1
"0,2125,55395,00",2
"0,24330,3399006,00",1
"0,2759,192055,00",4
"0,2763,805011,00",1
"0,2763,805900,00",2
"0,2763,806744,00",2
"0,2763,808962,00",1
"0,3604,770241,00",2
"0,3604,781616,00",2
"0,3604,806579,00",2
"0,3605,781838,00",1
"0,3959,367672,00",1
"0,3959,369038,00",1
"0,3959,476558,00",2
"0,3959,493248,00",1
"0,4057,4855902",2
"0,4057,5239758",5
"0,4161,2877898,00",3
"0,4273,4477138,00",4
"0,4406,180778,00",4
"0,5478,4859169",2
"0,6798,517233,00",4
"0,6903,800788,00",1
"0,7369,770922,00",2
"0,7371,337484,00",4
"0,7476,349695,00",4
"0,7493,781769,00",2
"0,7496,765161,00",2
"0,7792,773258,00",2
"0,8132228,1440",1
"0,8357893,215",1
"0,8357894,215",1
"0,8357895,215",1
"0,8357896,215",1
"0,8357897,215",1
"0,8357898,215",1
"0,8357899,215",1
"0,8357900,215",1
"0,8358764,215",1
"0,8365765,1440",1
"0,8597650,215",1
"0,8597651,215",1
"0,8597652,215",1
"0,8597653,215",1
"0,8597654,215",1
"0,8597655,215",1
"0,8597656,215",1
"0,8597657,215",1
"0,8605373,1440",1
"0,8613660,159",1
"0,8613661,159",1
"0,8613662,159",1
"0,8613663,159",1
"0,8613664,159",1
"0,8613665,159",1
"0,8613666,159",1
"0,8613667,159",1
"0,8613668,159",1
"0,8613669,159",1
"0,8613670,159",1
"0,8613671,159",1
"0,8613672,159",1
"0,8613673,159",1
"0,8613674,159",1
"0,8613675,159",1
"0,8613676,159",1
"0,8613677,159",1
"0,8613678,159",1
"0,8613679,159",1
"0,8616191,1440",1
0.0,12
0.00,46
0.01,16
0.02,18
0.03,22
0.036,1
0.04,2
0.05,12
0.054,2
0.06,15
0.07,6
0.08,10
0.09,12
0.1,7
0.1.0,3
0.1.1,4
0.1.2,4
0.10,19
0.11,8
0.11.28,3
0.11.29,2
0.11.30,1
0.12,15
0.128,2
0.13,10
0.14,18
0.15,14
0.155,2
0.16,8
0.17,16
0.18,6
0.19,3
0.2,9
0.20,7
0.21,10
0.23,10
0.24,7
0.28,6
0.29,2
0.2mm,2
0.3,12
0.30,1
0.31,3
0.32,3
0.33,12
0.35,2
0.36,1
0.39,2
0.3mm,2
0.4,10
0.42,10
0.43,2
0.44,2
0.46,4
0.49,1
0.4mm,2
0.5,19
0.5.4,2
0.5.4cnc6,5
0.5.4cnc7,22
0.50,4
0.540,2
0.57,3
0.6.1,14
0.60.1,2
0.61,11
0.61final,1
0.61pre2,1
0.62,2
0.64,5
0.67,1
0.7,8
0.75hz,2
0.8.1,1
0.8.2,4
0.8.2claws,2
0.8.3,6
0.8.7,4
0.81,4
0.84,4
0.88.616446576,1
0.9,4
0.9_cvs020630,9
0.9.0rc3,10
0.9.13,37
0.9.5a,12
0.9.5b,2
0.9.6,2
0.9.6b,18
0.9.7,1
0.9.90,1
0.90,1
0.90.0,1
0.91,6
0.978,2
0.99,1
0.99.71,20
0.9x,5
00.311,1
000,4
0000,26
00000000,1
00000002,2
00000004,4
0000001,8
0000002,2
0000004,2
0000015,24
0000016,4
0000018,2
0000020,10
0000023,6
00000254,1
0000035,2
0000037,4
00001,1
000058,1
000071,1
000077,1
0000mo,2
0001004,2
0001007,4
0001010,2
0001011,1
0001013,2
0001014,2
0001015,2
0001019,8
000101c231b8,1
0001021,2
0001048,2
0001061,2
000107,1
0001081,2
0001103,2
0001107,2
0001111,4
0001114,2
0001120,2
0001123,1
0001138,2
0001141,2
0001172,2
0001189,2
0001196,2
0001215,2
0001236,2
0001237,2
0001282,2
0001285,6
0001293,2
0001294,4
0001312,2
0001314,2
0001319,2
0001330,4
0001332,2
0001349,2
0001381,2
0001399,2
0001424,2
0001428,4
0001429,2
0001433,2
0001444,2
0001452,2
0001454,2
0001455,2
0001490,2
0001508,2
0001517,2
0001523,4
0001532,2
0001542,2
0001549,4
000155,2
000156,2
0001561,2
0001567,2
0001571,2
0001573,2
0001584,2
0001593,2
0001598,2
0001600,2
000184,1
000185,1
000187,3
000188,2
000190,1
000191,1
000193,1
000194,3
000197,1
000198,1
0002,4
000200,1
000201,1
000202,1
000203,3
000204,1
000205,1
000206,1
000208,1
000209,1
000210,1
000212,1
000213,1
000214,1
000215,1
000217,1
000218,1
000219,1
000220,1
000221,1
000222,1
000224,2
000225,1
000226,1
000228,1
000229,1
000230,1
000231,1
000243,3
000290,2
000393,4
000402,1
000426,1
000541,4
000544,1
000564,1
000568,1
000581,1
000609,3
000611,2
000613,1
000614,1
000615,1
000616,1
000619,2
000622,1
000624,1
000625,1
000637,1
000640,1
000641,1
000643,2
000644,1
000647,2
000653,2
000707,2
0007b1d4,1
0008,2
001000,1
001203,1
001387,2
001404,2
001484,1
002,2
0020,9
0020723,1
002244,1
002324,2
002329,2
002330,3
002336,1
002337,1
002923,1
003,1
00317,3
003183,1
00332_biofuture_robot_dog_contest.html,1
003378,2
0041,1
0060081988,1
0069,2
008,2
008507,2
009,2
00am,33
00macros,2
00pm,3
01.20,2
0100,220
0100021,2
0100058,2
0100063,4
0100097,4
01001010,2
0100111,2
0100138,2
0100146,2
0100168,4
0100187,2
0100191,2
0100216,2
0100243,2
0100271,4
0100275,2
0100376,2
0100400,4
0100463,2
0100595,6
0100629,2
0100682,2
0100730,2
0100945,2
0101015,2
0101039,2
0101069,2
0101101,4
0101123,2
0101156,2
0101175,2
0101197,2
0101212,2
0101235,6
0101365,2
0101433,6
0101712,2
0101747,6
0101811,2
0101969,2
0101982,4
0102095,2
0102124,2
0102148,2
0102227,2
0102240,2
0102250,1
0102537,2
0102614,2
0102800,2
0103207,2
0103395,2
0103443,2
0103539,2
0103609,4
0103705,2
0103807,2
0103811,2
0103867,12
0103886,2
0103966,2
0104112,2
0104308,13
0104364,2
0104487,2
0104507,2
0104630,2
0104704,2
0104723,2
0104974,2
0105058,6
0105068,2
0105312,2
0105346,2
0105501,4
0105617,2
0105673,2
0105796,2
0105852,16
0105907,2
0105910,2
0106046,2
0106101,2
0106384,2
0106548,2
0106698,6
0106747,2
0106797,2
0106884,2
0106906,2
0106954,4
0107035,2
0107064,2
0107099,2
0107233,2
0107659,2
0107677,6
0107755,2
0107789,2
0107791,2
0107846,8
0107946,5
0108,3
0108028,2
0108103,2
0108104,4
0108121,2
0108189,2
0108194,2
0108211,2
0108247,2
0108327,2
0108498,2
0108540,2
0108647,2
0108660,16
0108706,2
0108730,2
0108913,4
0108992,2
0109119,2
0109168,2
0109265,2
0109331,2
0109487,2
0109493,6
0109575,2
0109581,10
0109707,2
0109758,4
0109790,2
0109871,8
0109961,2
0109990,2
0110001,4
0110004,10
0110114,2
0110115,2
0110120,4
0110130,2
0110175,2
0110436,4
0110445,4
0110495,6
0110561,4
0110570,2
0110604,2
0110729,2
0110735,2
0110837,2
0110870,2
0111019,2
0111183,4
0111198,2
0111200,2
0111221,2
0111306,2
0111413,2
0111425,2
0111427,2
0111472,2
0111473,6
0111520,4
0111663,2
0111734,2
0111749,4
0111784,2
0111797,2
0111823,4
0111917,2
0111972,2
0112001,2
0112006,2
0112026,2
0112083,20
0112098,2
0112258,2
0112329,2
0112515,2
0112554,2
0112629,8
0112683,2
0112769,2
0112786,2
0112789,2
0112795,6
0112861,2
0112892,2
0112897,2
0112946,4
0112952,2
0112986,4
0113006,2
0113084,2
0113147,6
0113212,6
0113297,1
0113335,2
0113353,2
0113376,2
0113413,2
0113442,2
0113490,4
0113501,2
0113590,2
0113635,2
0113685,2
0113755,4
0113759,2
0113814,2
0113872,2
0113914,2
0113942,2
0113975,2
0114013,4
0114032,2
0114078,2
0114086,2
0114111,2
0114126,2
0114132,2
0114135,2
0114138,2
0114139,2
0114143,2
0114153,2
0114155,2
0114162,2
0114165,2
0114166,2
0114167,2
0114169,2
0114170,2
0114171,2
0114174,2
0114175,2
0114176,2
0114177,2
0114178,2
0114179,2
0114180,2
0114181,2
0114182,2
0114183,2
0114184,2
0114186,2
0114188,2
0114189,2
0114190,2
0114193,2
0114194,2
0114195,2
0114197,2
0114198,2
0118w,9
011928,1
012301,1
013,1
0133,1
013974,2
0140441034,2
0140447695,2
015,1
0163,4
01689,2
0193,1
01am,3
01e0520310450300b900,2
01pm,13
01t00,5
01t01,1
01t03,4
01t04,12
01t05,1
01t06,2
01t07,2
01t08,4
01t09,3
01t10,1
01t11,1
01t12,3
01t13,1
01t15,2
01t22,2
0200,142
02001,2
0200a8c0,1
0203,2
020401fa_fact1,2
0205_yu,2
020610,1
0207,3
020711,1
020725hnapachenet.xml,1
020809,2
0209,2
020902ctspotlight.xml,2
020916,4
020917,2
020920,1
020927,2
02100401,1
021004opethics.xml,1
02100601,1
021007fa_fact,4
02111,1
021201moose.shtml,1
02131,117
022002,1
022014,1
02360,2
0238234,4
02458,1
025,2
025308,2
026056,2
02am,5
02dec2002_biz54,1
02pm,6
02q3,2
02t03,3
02t04,2
02t09,8
02t10,1
02t16,1
02t17,1
02t18,1
02t22,2
02t23,1
02ut0823234,1
0300,9
0323,4
0346,2
0366981,1
03824,2
0392a0,3
03am,7
03pm,11
03t00,1
03t01,1
03t04,9
03t05,1
03t08,1
03t14,2
03t18,1
03t21,1
03t22,2
04'14.8,4
0400,158
0407,1
0407fax,9
0412,6
0419,6
0455,9
04828,1
048d,1
04am,2
04beij.html,2
04pm,11
04t00,1
04t02,8
04t03,1
04t17,1
05.000000000,2
0500,76
0503,2
0520,2
0530,1
0557fe246dd68b12,2
0596003161,2
05am,5
05amar.html,1
05pm,5
05t03,11
05t21,2
0600,18
060302a,2
0644,4
0666,4
069,2
06am,4
06b1,1
06bric.html,2
06pm,5
06skul.html,2
06t02,8
06t18,20
06t21,1
06t23,4
0700,179
0711,4
071902,2
072302b,1
0725,2
072602,2
0755,4
075x,2
0770,9
0775,1
0789728109,2
0792846486.01,1
07a7,4
07am,2
07argu.html,1
07pear.html,2
07pm,8
07quaoar,2
07t03,9
07t06,3
07t09,1
07t12,1
07t14,1
07t15,1
07t17,1
07t21,2
07t22,6
080,1
0800,4
080202,2
08039,111
0805,2
0805_020805_giza.html,2
0806,1
080802a,1
080902,3
081,2
0812,1
0818,4
0819specialfocus.html,2
082001,1
0823,1
0833,4
086,11
0870,1
08705,2
0871,4
088e,1
08am,4
08e0,6
08galaxies,2
08japa.html,1
08pm,14
08t00,2
08t01,1
08t03,16
08t12,2
08t14,1
08t16,2
08t20,1
08t22,1
09_30_2002,1
09.162201,1
09.225237,2
