"","word","spam_word_count"
"1","_____",6
"2","______",13
"3","________",1
"4","_________",2
"5","__________",5
"6","___________",2
"7","____________",2
"8","_____________",4
"9","______________",10
"10","_______________",13
"11","________________",6
"12","__________________",1
"13","___________________",6
"14","____________________",12
"15","______________________",2
"16","_______________________",9
"17","________________________",5
"18","_________________________",13
"19","__________________________",6
"20","___________________________",3
"21","____________________________",1
"22","______________________________",2
"23","_______________________________",2
"24","________________________________",3
"25","_________________________________",1
"26","___________________________________",4
"27","______________________________________",15
"28","__________________________________________",8
"29","_____________________________________________",14
"30","______________________________________________",4
"31","_______________________________________________",25
"32","________________________________________________",18
"33","_________________________________________________",7
"34","__________________________________________________",6
"35","___________________________________________________",5
"36","____________________________________________________",4
"37","_____________________________________________________",3
"38","______________________________________________________",39
"39","_______________________________________________________",8
"40","__________________________________________________________",8
"41","___________________________________________________________",2
"42","_______________________________________________________________",4
"43","________________________________________________________________",10
"44","_________________________________________________________________",1
"45","__________________________________________________________________",12
"46","_______________________________________________________________________________",1
"47","_________________________________zip",2
"48","_________________________zip",2
"49","_____________________state",2
"50","______amex",3
"51","______disc",3
"52","______visa",3
"53","_____mastercard",3
"54","_____oop's",3
"55","_____yes",6
"56","____i",6
"57","_8j7bjk9",7
"58","_blank",2
"59","_professional_",1
"60","&agrave; ",1
"61","&agrave; ipogea",1
"62","&agrave; minuit",1
"63","&agrave; oktomail",1
"64","&agrave; temps",1
"65","&agrave; tous",1
"66","&agrave; tout",1
"67","&agrave; un",1
"68","&ecirc;tre",1
"69","˹6bt",4
"70","0;0;6177677;1",2
"71","0.0",1
"72","0.04",1
"73","0.1",16
"74","0.10",1
"75","0.15",2
"76","0.2",100
"77","0.25",1
"78","0.99",4
"79","00.02",2
"80","00.08",2
"81","00.19",4
"82","000",1
"83","000000",8
"84","000080",2
"85","000608",1
"86","000644",1
"87","0022",1
"88","0031",1
"89","0045",1
"90","0080",4
"91","0086",2
"92","008qthf8093ahxj6",1
"93","009aakky1109",1
"94","011vptm2924l20",2
"95","01225",2
"96","01295",6
"97","013",6
"98","0143",4
"99","01732",2
"100","018yhmw1788zoth2",1
"101","01c1ed02",1
"102","02066",1
"103","021",4
"104","021gcco3337qykc4",1
"105","021irsi848l19",1
"106","022",4
"107","022l3",1
"108","023uooi4889tl53",2
"109","0242",4
"110","0283ptfl6",2
"111","03101",2
"112","032miqq2111hkix2",2
"113","0363",6
"114","0371",4
"115","0400",2
"116","0406",1
"117","0416",1
"118","041dhmy3817l52",1
"119","041vvdy1060qrfx3",1
"120","0432",4
"121","0474aqiz9",2
"122","048lhuu4192rrta7",1
"123","050",4
"124","050nvjz1161zl37",1
"125","051102mx4",1
"126","0520",4
"127","052402",1
"128","054pcfq9499xmtw0",2
"129","055",4
"130","05602",1
"131","0567",2
"132","05775748",4
"133","058cqgc1446egie8",1
"134","061juxo3729avsa0",1
"135","0652csum5",1
"136","0658",2
"137","0672",8
"138","06l27",1
"139","0700",3
"140","0754quaq5",1
"141","0771",6
"142","07732",2
"143","0805wsrp6",1
"144","0820",4
"145","083oxzi3821cavh4",2
"146","0869rjku9",1
"147","086uml30",2
"148","086zkcv4695tdvr3",1
"149","0920",8
"150","094lkl46",1
"151","096400",52
"152","096540",4
"153","098nagl15",1
"154","0catch.com",1
"155","0l58",2
"156","0ne",3
"157","1,000",33
"158","1,000,000",23
"159","1,021,320.00",1
"160","1,080",7
"161","1,093,808",3
"162","1,111,100",2
"163","1,250",2
"164","1,250.00",1
"165","1,500",2
"166","1,500,000",1
"167","1,500,000.00",2
"168","1,550",4
"169","1,700",4
"170","1,750",2
"171","1,800",4
"172","1.0",14
"173","1.000",1
"174","1.10",2
"175","1.25",1
"176","1.3",2
"177","1.5",12
"178","1.50",1
"179","1.5gb",1
"180","1.60",4
"181","1.98",15
"182","1.99",5
"183","10,000",68
"184","10,000,000",2
"185","10,500,000",1
"186","10.00",23
"187","10.50",1
"188","100",282
"189","100,000",82
"190","100,000,000",1
"191","100,000e",5
"192","100.00",11
"193","1000",70
"194","1000.00",2
"195","1000ǧ",2
"196","1007",2
"197","100s",1
"198","100x",1
"199","101",9
"200","1015",1
"201","101pbkg3860zion2",2
"202","102.00",1
"203","1027zbau4",1
"204","1030",4
"205","10394",1
"206","104",4
"207","104.50",1
"208","105.00",7
"209","1051",1
"210","10564",1
"211","105th",5
"212","106",2
"213","106.50",1
"214","1066",1
"215","106bzwn7680xwac1",1
"216","106th",1
"217","1075rxoo9",1
"218","1080",1
"219","1090346",6
"220","10am",1
"221","10k",1
"222","10mm",1
"223","10pm",1
"224","10th",2
"225","11,2001",1
"226","11,500,000.00",2
"227","11.5m",2
"228","11.5million",2
"229","11.6",1
"230","11.98",3
"231","110.00",2
"232","1100",4
"233","111",2
"234","111.50",1
"235","1120",7
"236","1120c",2
"237","1125c",2
"238","112th",2
"239","1139xcyb6",2
"240","114",2
"241","115",7
"242","115,000",1
"243","115.00",16
"244","1150c",2
"245","115mhzg9267xwnfl40",2
"246","115qsjm1944hylu8",2
"247","1160",4
"248","116cjyf2258aegj1",2
"249","1170c",2
"250","1175c",2
"251","118c",4
"252","119",2
"253","11gb",1
"254","11th",2
"255","12,000",5
"256","12,320,000.00",2
"257","12.00",3
"258","12.1",7
"259","12.360m",1
"260","12.50",2
"261","12.95",2
"262","120",2
"263","1200",5
"264","1201hvli9",1
"265","1202ffdi8",1
"266","121",6
"267","1210",4
"268","1214578",1
"269","1220c",2
"270","1225",2
"271","1229giib8",1
"272","123",5
"273","1230",4
"274","124",4
"275","1240",4
"276","125",9
"277","125,000",2
"278","125.00",7
"279","1250",6
"280","1252",1
"281","126.00",21
"282","12600",1
"283","126432211111",1
"284","1270",6
"285","128",3
"286","1280",6
"287","128mb",8
"288","129.00",1
"289","1290",6
"290","129qkjk2635okca5",2
"291","12gb",3
"292","12k",1
"293","13.3",6
"294","13.50",1
"295","13.98",3
"296","130.00",11
"297","1300",3
"298","1302",5
"299","131",1
"300","1314",1
"301","132",3
"302","1330",4
"303","1331",4
"304","133mhz",2
"305","134",2
"306","1341",5
"307","1349lmrd5",2
"308","135",2
"309","135.50",1
"310","136",4
"311","1365fifr5",1
"312","136dfse5701lgxl2",2
"313","1377",2
"314","1383",2
"315","139,720",1
"316","139.95",2
"317","1394",1
"318","13951228561",1
"319","13th",3
"320","14,900,000",1
"321","14.1",9
"322","14.95",53
"323","14.99",1
"324","140",5
"325","140.00",23
"326","1420",4
"327","1425",3
"328","144hspg7837zbkj3",1
"329","145",5
"330","145.00",2
"331","145400",4
"332","1457",5
"333","146400",16
"334","146401",8
"335","146402",20
"336","146403",12
"337","146404",8
"338","146430",4
"339","147,200.00",12
"340","149",4
"341","15,000",4
"342","15.00",1
"343","15.5",2
"344","150",21
"345","150,000",1
"346","150.00",22
"347","1500",6
"348","1500c",2
"349","150rkym2509gxri8",2
"350","151,200.00",4
"351","15120",3
"352","1520",8
"353","152xcta8770ngxl9",2
"354","1530",4
"355","1534",22
"356","1543",2
"357","154gvph3949xtsk0",1
"358","155",1
"359","155.00",8
"360","15522",1
"361","156cgkc0858xxnwl40",2
"362","157,859",1
"363","159.00",21
"364","15th",2
"365","16,2002",1
"366","16,500,000",2
"367","16,500,000.00",2
"368","16,500.000",2
"369","16.4",1
"370","160",3
"371","1600",8
"372","1618",24
"373","1628",3
"374","163",5
"375","1631pl5",2
"376","16372",20
"377","1648",1
"378","165kybb8203gssw1",1
"379","1667",1
"380","16677",2
"381","166mhz",2
"382","16701",2
"383","1676",2
"384","168.75.161.77",4
"385","1680",2
"386","16863",4
"387","16950",1
"388","16mb",1
"389","16mbyte",1
"390","16th",5
"391","170",16
"392","170.00",14
"393","1704xszn1",1
"394","1719",6
"395","171lwkk6405nyqr3",2
"396","1722uawq6",1
"397","173",1
"398","1733pusv2",1
"399","174.00",1
"400","174yaja0756sejnl56",2
"401","175",1
"402","176.00",1
"403","17692",8
"404","1775",1
"405","17x57x10",1
"406","18,000,000,00",6
"407","18.00",4
"408","18.98m",1
"409","180.00",2
"410","18048",2
"411","180713",4
"412","1812",1
"413","181ltug3901fjcv5",1
"414","185.00",7
"415","186",1
"416","186,126",1
"417","1869",1
"418","189geil31",2
"419","18l27",1
"420","19.00",1
"421","19.95",5
"422","19.99",6
"423","190",18
"424","190.00",3
"425","1910",1
"426","1917",1
"427","1918bqhx5",2
"428","192.00",14
"429","192mb",6
"430","1938",1
"431","1949",2
"432","195.00",1
"433","195.235.97.200",1
"434","1957",2
"435","1958",2
"436","196gusl4757wrmh7",2
"437","197.00",1
"438","1971",2
"439","1977",4
"440","1978",1
"441","1979",6
"442","197fvva2035gqej3",2
"443","1985",2
"444","1989",2
"445","198zozv0155tgco9",1
"446","199",4
"447","199.00",1
"448","1993",10
"449","1994",2
"450","1995",2
"451","1996",13
"452","1997",8
"453","1998",5
"454","1999",9
"455","19th",1
"456","1and",2
"457","1gb",2
"458","1gbyte",1
"459","1jx",1
"460","1l6",1
"461","1mm",2
"462","1oz",3
"463","1pcs",16
"464","1r7",1
"465","1st",13
"466","2_free_signups",2
"467","2,000",10
"468","2,000,000",2
"469","2,000.00",10
"470","2,046",1
"471","2,200",4
"472","2,492",6
"473","2,500",7
"474","2,550",2
"475","2,650",2
"476","2,665",4
"477","2,750",2
"478","2,950",2
"479","2.0",57
"480","2.30",5
"481","2.5g",1
"482","2.9",4
"483","2.92m",1
"484","2.98",3
"485","2.99",10
"486","20,000",20
"487","20,500,000",2
"488","20,500,000.00",2
"489","20,560.00",3
"490","20.00",14
"491","20.5",1
"492","20.5m",2
"493","200",33
"494","200,000",13
"495","200.00",10
"496","200.38.128.154",1
"497","2000",46
"498","2000m",2
"499","2001",28
"500","2002",104
"501","2002dietspecials.com",6
"502","2003",8
"503","2003marketing.com",1
"504","2004",3
"505","2005",1
"506","2008",1
"507","200k",1
"508","200m",5
"509","200othp6418l36",1
"510","2010",1
"511","2010868",4
"512","202.101.163.34",15
"513","2020",3
"514","203",2
"515","203.31.88.12",1
"516","204",2
"517","205",2
"518","205.00",8
"519","205241510",2
"520","205241590",2
"521","2058",2
"522","206",1
"523","208",1
"524","20834",2
"525","209",5
"526","209.163.187.42",3
"527","209.163.187.46",2
"528","209.202.221.16",4
"529","209.203.162.20",8
"530","209.50.252.161",2
